iter	Logloss
0	0.6877502783
1	0.6826995835
2	0.678100506
3	0.6737316759
4	0.669532435
5	0.6656866345
6	0.6620314704
7	0.6585792007
8	0.6554645042
9	0.6524433335
10	0.6496617054
11	0.6470913629
12	0.6446101829
13	0.6422575249
14	0.6401480657
15	0.6380503117
16	0.6360540005
17	0.6342582728
18	0.6325793978
19	0.6309511347
20	0.6294199196
21	0.6279645567
22	0.6266019522
23	0.625354433
24	0.6241434545
25	0.6229902251
26	0.6219614541
27	0.6209572341
28	0.6200243026
29	0.6191276303
30	0.6183128807
31	0.6174857541
32	0.6167276801
33	0.6160370782
34	0.6154044861
35	0.6147834238
36	0.6141976897
37	0.6136621679
38	0.6131300595
39	0.6125921164
40	0.612102111
41	0.6116426899
42	0.6111893986
43	0.6107535254
44	0.6103404516
45	0.6100027245
46	0.6096495025
47	0.6092940601
48	0.6089317234
49	0.6086297748
50	0.6083471186
51	0.608083569
52	0.6077874254
53	0.6075016496
54	0.6072769037
55	0.6070227219
56	0.6067660885
57	0.6065216026
58	0.6062980003
59	0.6060767642
60	0.6058700022
61	0.6056463865
62	0.6054508469
63	0.6052842436
64	0.6051325754
65	0.6049629753
66	0.6048022565
67	0.6046451795
68	0.604519376
69	0.6043598869
70	0.6041805756
71	0.6040254081
72	0.6038900604
73	0.6037480165
74	0.6036125395
75	0.6034711486
76	0.6033384908
77	0.6032043071
78	0.6030999827
79	0.6029316128
80	0.6028226262
81	0.6027157651
82	0.6026073109
83	0.60250257
84	0.6023980726
85	0.6022976732
86	0.6022180036
87	0.6021332823
88	0.6020363831
89	0.6019020842
90	0.6017857174
91	0.6016876096
92	0.6016042072
93	0.6014867203
94	0.6014147851
95	0.6013375697
96	0.6012678135
97	0.6011895787
98	0.601073045
99	0.6010032384
100	0.6009014551
101	0.6008319813
102	0.6007587823
103	0.600695093
104	0.600616637
105	0.6005592176
106	0.6005037392
107	0.6004331553
108	0.6003714157
109	0.6003180319
110	0.6002401557
111	0.6001756535
112	0.6001281442
113	0.6000610269
114	0.6000034216
115	0.5999490106
116	0.5998977975
117	0.599829083
118	0.5997770744
119	0.5996653365
120	0.5996207286
121	0.5995792921
122	0.5995375068
123	0.5994586251
124	0.5994113748
125	0.5993498555
126	0.599309174
127	0.5992008008
128	0.5991694982
129	0.5991005615
130	0.5990601145
131	0.5989643453
132	0.5989245884
133	0.5988623031
134	0.5988222507
135	0.5987886754
136	0.5987589088
137	0.5987085242
138	0.5986263081
139	0.5985847385
140	0.5985522532
141	0.5985170383
142	0.5984800878
143	0.598433892
144	0.5984016236
145	0.5983725806
146	0.5983427329
147	0.5983127609
148	0.5982745402
149	0.5982214972
150	0.5981894454
151	0.5981640133
152	0.5981203156
153	0.5980897054
154	0.598061524
155	0.5980263335
156	0.5979731997
157	0.5979472199
158	0.5979182858
159	0.5978838739
160	0.5977932946
161	0.5977561686
162	0.5977261673
163	0.597703486
164	0.5976829976
165	0.5976636514
166	0.5976438369
167	0.5976087302
168	0.5975922019
169	0.597549851
170	0.5974675117
171	0.5974441217
172	0.5973639978
173	0.5973438394
174	0.5973066816
175	0.597271625
176	0.5972410159
177	0.5972037186
178	0.5971189239
179	0.5970976407
180	0.5970812835
181	0.5970627716
182	0.5970411006
183	0.5970206074
184	0.5969782682
185	0.5969334548
186	0.5969122478
187	0.5968278261
188	0.5967858434
189	0.5967659059
190	0.5967508371
191	0.5967334969
192	0.5966944624
193	0.5966290227
194	0.5966145525
195	0.5965507119
196	0.5964719481
197	0.5964453454
198	0.5963915422
199	0.5963759869
200	0.596342135
201	0.5963242287
202	0.5962698507
203	0.5962397262
204	0.5962294035
205	0.5962127301
206	0.5961989745
207	0.5961870084
208	0.5961718653
209	0.5961587469
210	0.5961485866
211	0.5960990256
212	0.5960833857
213	0.5960316231
214	0.5959643713
215	0.5959376644
216	0.5958997535
217	0.5958833322
218	0.5958702334
219	0.5958556138
220	0.5958405183
221	0.5958304575
222	0.5958157546
223	0.5958038927
224	0.5957926538
225	0.5957740407
226	0.595740431
227	0.595723995
228	0.595653538
229	0.5956218633
230	0.5955958648
231	0.5955837842
232	0.5955582251
233	0.5954903666
234	0.5954591147
235	0.5954105389
236	0.595360688
237	0.5953451354
238	0.5953280731
239	0.5953180366
240	0.5952914599
241	0.5952802891
242	0.5952637849
243	0.5952460202
244	0.5952293273
245	0.5952174529
246	0.5951701254
247	0.5951598681
248	0.5951374876
249	0.5950747222
250	0.5950258163
